Frequency (Hz),Polyestirene_1,Polyestirene_2,Polyestirene_3,Polyestirene_4,Polyestirene_5,Polyestirene_6,Polyestirene_7,Polyestirene_8,Polyestirene_9,Polyestirene_10,100-400 nm_1,100-400 nm_2,100-400 nm_3,100-400 nm_4,100-400 nm_5,100-400 nm_6,100-400 nm_7,100-400 nm_8,60-300 nm_1,60-300 nm_2,60-300 nm_3,60-300 nm_4,60-300 nm_5,60-300 nm_6,60-300 nm_7,60-300 nm_8,500-1000 nm_1,500-1000 nm_,500-1000 nm_3,500-1000 nm_4,500-1000 nm_5,500-1000 nm_6,500-1000 nm_7,500-1000 nm_8,60-300 nm,std(60-300 nm),100-400 nm,std(100-400 nm),500-1000 nm,std(500-1000 nm),Polyestirene,std(Polyestirene)
2935.409002,0.10787328677522852,1.0215827283733545,0.009616265139638829,0.6459220341179451,0.5997527552088695,0.008220420125251517,0.18745601652067495,0.0770326233385565,0.2093224023683902,0.009678677183393464,0.2115366058769666,0.2237677643816117,0.21793291478064636,0.2216871900739637,0.20882731144828137,0.20457008890498501,0.21810606380201297,0.21619912466137825,0.10552735401769354,0.15014004211708756,0.1390823073171415,0.13909549140222835,0.20945635822640568,0.21187145082525868,0.1984945161330812,0.21280068251557144,0.21492310423706437,0.21663751065394893,0.2161964253614111,0.19985894090004014,0.2081959597671216,0.21876074750375582,0.22826547151816068,0.2219004127750869,0.1708085253193085,0.04210660135926477,0.21532838299123075,0.006538864797604638,0.21559232158957373,0.00857396654191884,0.2876457209151303,0.3479989346755831
3261.565558,0.6724963813586351,2.291864310425553,0.007633333233432934,3.7196543263699735,6.574464599440846,0.009797844611123225,1.570567987115541,0.30951712604401094,1.2340724790288553,0.008305504000855756,0.2783830330275567,0.3242820117471936,0.3065864877623413,0.319392694375944,0.3097002776605426,0.32263049260342147,0.3115492415593337,0.30586968369582196,0.1435214445698493,0.1800845763175944,0.18027256304609873,0.18453368276385276,0.3147917691924116,0.30849558078610423,0.2963228176848078,0.32174973815051106,0.3029447104668967,0.29670547563216193,0.2919843147894179,0.2956388368001066,0.283368190403151,0.2950223163395875,0.2997198085210262,0.2917293795144608,0.24122152156390375,0.07528103974165765,0.30979924030401945,0.014551581342360904,0.2946391290583511,0.00588898198746656,1.6398373891628828,2.1071118367265
3587.722114,0.13659381207908217,0.6785664249363439,0.006683058484092191,0.918404110423693,1.1205777609478096,0.005566570051499045,0.4871360913793636,0.06549015557863332,0.37247705134726955,0.007094875867962342,0.2125300360896367,0.23586831490933224,0.22838736539640048,0.24106942165303813,0.2238779344415688,0.22978562125924265,0.23057196024302176,0.23996202215400597,0.11083258506812785,0.14291970620286643,0.14138255352336743,0.14066832351186978,0.21763921406137776,0.21456778600206663,0.2190324155520479,0.22643913582847988,0.23279092240445506,0.253870948410997,0.24775202948120126,0.21548787024933666,0.23135407002149136,0.23274518302299468,0.2630150359637269,0.2354951524452944,0.17668521496877546,0.04690603081895734,0.23025658451828085,0.0092685137423469,0.23906390149993717,0.015003200795836082,0.37985899110957483,0.41039249948124085
3913.878669,0.06114788238262505,0.7579311847111495,0.005759491306982507,0.5753154231972272,0.47409573196027327,0.005518435269037164,0.207355137389618,0.04473887538903365,0.16012416979325647,0.006189164275774047,0.17570565835422944,0.19521107512876948,0.18665283660871324,0.1977139057154627,0.17872646118707586,0.18952380740061614,0.18499168147507639,0.18634940756362203,0.08404176050964436,0.11142583246398172,0.1099881039317607,0.11338197178323381,0.18334560050414742,0.17914686236500899,0.18359070021105947,0.18277800752602635,0.1767932801148502,0.19025973835994192,0.1841111963224612,0.1693320721996709,0.17451663130777556,0.17215037477800033,0.1947024079445333,0.17838390526667225,0.14346235491185785,0.04243072122478475,0.18685935417919566,0.0074547359654946015,0.1800312007867382,0.008917884313266827,0.22981754956749767,0.2741718202077494
4240.035225,0.053461386060424616,0.44364377136185723,0.005019307087818873,0.6856730586217575,0.46551667998989793,0.003979346973118506,0.1169574928339878,0.12390614759473594,0.1457040320180984,0.0057794435442149895,0.1729030079673606,0.1945444415491359,0.1800640653617785,0.19162075336758275,0.18023079892171134,0.17437769433334463,0.180042577206394,0.17545645257088932,0.07917002640372715,0.10153752536231488,0.10016925918342409,0.10454931096234199,0.1631470670581718,0.15523153016592392,0.16063303360723855,0.16226094484731463,0.16120161056759091,0.1747850026083233,0.17356951587776734,0.16608331237707433,0.15942186121476362,0.15955348243100015,0.18052272956643695,0.1678334671299594,0.12833733719880713,0.035099457153369894,0.18115497390977464,0.007915550666169844,0.1678713727216145,0.007824775771003496,0.20496406660859118,0.23962109822492297
4566.191781,0.17106200262376908,0.2770442387932844,0.004204699358383575,1.346332139810113,1.425032791378182,0.004854009845514718,0.10154743781002143,0.06852159493583132,0.08359535951503624,0.0052688841122194175,0.19319599964422213,0.22379553479725856,0.2009032315175488,0.21528124941398144,0.21257854137662469,0.21063814426105273,0.20544294555432854,0.20550886675304134,0.09438428582232399,0.11850340131183341,0.12025220641091489,0.12449129893130119,0.20067106987845792,0.2015081552613643,0.19195688652521514,0.2064341134066838,0.20332962070843433,0.20860613922592094,0.20553196565892898,0.1983217470092384,0.19558572594535537,0.1935564970594725,0.21614632364441674,0.200119063383365,0.15727517719351183,0.0468480517729028,0.20841806416475728,0.009345028925984294,0.20264963532939154,0.007407806051283877,0.3487463158182355,0.5532900339976304
4892.348337,0.21117442772186218,0.3301256754674568,0.003822589242606366,0.7315718408436488,1.1053954951922418,0.0028587802356150526,0.12150395690703142,0.03489153696010793,0.05725402235658704,0.0048766048925797285,0.20805196059331882,0.24014256531843903,0.21696416622625295,0.23981987947728872,0.2317973055050794,0.23641300508692165,0.2176887075860211,0.23376242961697263,0.10689231712033319,0.13342143093050704,0.14199932081081187,0.14283338680180674,0.2321919964133824,0.2238672487506583,0.23298159790543627,0.23056858784438122,0.2416321274156937,0.2503796179785169,0.2402926502652338,0.23330984712881453,0.226579686054319,0.22670090466858708,0.25629357974453254,0.24761439354858072,0.18059448582216464,0.05391719794101218,0.22808000242628684,0.012139314369585616,0.2403503508505348,0.01091978954656948,0.26034749298197374,0.3730015205022514
5218.504892,0.062336800202864404,0.19649148362565264,0.003565834435199455,0.60494288645233,0.4269516038982076,0.004267614855381299,0.40794000388193175,0.05314258519145182,0.044196243737860165,0.004506662658460265,0.19599523423191642,0.217724912041341,0.2139136349342628,0.21856253388010416,0.2125499661261398,0.2184702660536047,0.20068858011251334,0.20755223163962938,0.09367883711853274,0.11508429163687395,0.12343799278117629,0.12450617356653766,0.19574365942536806,0.19227391553247145,0.19971175011289546,0.20551841399754592,0.21157910229616086,0.22057157392136195,0.21785474706865832,0.2138150357250335,0.2055294056883622,0.20552948124547424,0.22463809491377862,0.22321322896459314,0.15624437927142518,0.0460866203342129,0.21068216987743896,0.008549521738577766,0.21534133372792783,0.007474714654821385,0.18083417189393391,0.2198413815308336
5544.661448,0.05455388886431634,0.11225708013558497,0.003172201086244668,0.5566846284762428,0.3754918426326514,0.0029523422721588395,0.5307435449776954,0.10002248061523243,0.035800445511882016,0.004417333181255248,0.15199080900545556,0.1735977640019659,0.16425671567631858,0.16778919115024885,0.16662780291838297,0.1687539626844869,0.16268625589184882,0.16706075022621752,0.0706687327715597,0.08609505661486833,0.09357828347199636,0.08970236309142751,0.14331488108687465,0.14404834910239117,0.149164127850125,0.14477094166285887,0.14633941098535236,0.16552464330228264,0.15804273669381314,0.15254378100379623,0.15266025121574456,0.15781922360058936,0.16261780821115396,0.15610571869008363,0.1151678419565127,0.03294677024438383,0.16534540644436566,0.0062892231135092775,0.15645669671285198,0.006056466631476369,0.1776095787753264,0.22211889325026846
5870.818004,0.09174751964693928,0.08426473199543404,0.0029438235302238084,0.606248647040884,0.47335683892152036,0.00246732140119153,0.1317986202114743,0.11569496821033398,0.03321271418083564,0.0041453362288994666,0.14991343030683105,0.16112848605133176,0.1556504489818773,0.15989757197781196,0.1495441884650929,0.14710941706682687,0.14806199253810912,0.15587687423046986,0.06410336345668746,0.07367397799555063,0.08052616038097814,0.08077705260479774,0.13186919019838753,0.13069277775220262,0.13276982547476643,0.13253664413965965,0.1404090787031068,0.14442038173987617,0.14023838745308936,0.13923905598683067,0.13202362139945495,0.13745970650419023,0.14504125615102406,0.13933907096367162,0.10336862400037877,0.031006417833558984,0.15339780120229385,0.005454179711387313,0.13977131986265548,0.004068194141915234,0.15458805213677362,0.2108287447996878
6196.97456,0.19928447482232997,0.08165475020447503,0.002608321680214024,0.8364517485550335,0.7104938028067523,0.0026275191621655675,0.09483547926728682,0.06368549085586658,0.031025674239015134,0.003987616493517835,0.18297884824181831,0.1992436905924438,0.19444714094716864,0.19096915260063432,0.20069351717807363,0.1954753653690331,0.18210873465949123,0.20179666194493268,0.07970330178759574,0.09556997994931331,0.10334564646604982,0.10741528621939,0.17065183671150777,0.1692710081790299,0.1769504947586289,0.17097756862856536,0.17848509623959963,0.17732189136513715,0.18799995225609129,0.1754129587645169,0.17443190605574693,0.17581837903620906,0.19380740407758534,0.17947898411241728,0.1342356403375101,0.04117987857867453,0.19346413894169945,0.007608462164570098,0.18034457148841299,0.006896821582106034,0.2026654878086657,0.30806629567101024
6523.131115,0.21547761699201493,0.0958784551754709,0.0025268051787100602,2.0590599014392335,1.3328395383822889,0.002006414054844886,0.15052029770697073,0.03670355671975735,0.04093727327415005,0.003743635030487761,0.23076295077320455,0.23442266127117928,0.23601305228701613,0.22181315855330727,0.24380702222890446,0.2399172525432009,0.23133727492646391,0.24452137611458657,0.10427278285052503,0.11741425825535544,0.12969934592721344,0.13343687453360145,0.21885825050984506,0.21626608625626514,0.22626226534429933,0.22737108921263124,0.23584537715539586,0.22715029889502653,0.23092720989110374,0.23267339173765136,0.22641815906262752,0.2311193024146798,0.23693810359789697,0.22337108838271677,0.17169761911121703,0.054782479793023926,0.2353243435872329,0.007542058733033194,0.2305553663921373,0.0046902739878320505,0.3939693493953929,0.7106645957159451
