Frequency (Hz),Polyestirene,100-400 nm,60-300 nm,500-1000 nm
148727.3894,0.000882469,0.000471608,0.00050704,0.000309793
149053.546,0.000913425,0.000528343,0.000534258,0.000320861
149379.7025,0.000926307,0.000585656,0.000518911,0.000327821
149705.8591,0.000889397,0.000595308,0.000523968,0.000334777
150032.0157,0.000909785,0.000520166,0.000491725,0.00031236
150358.1722,0.000864546,0.000502521,0.000478242,0.000292439
150684.3288,0.000863725,0.000453337,0.000452377,0.000265954
151010.4853,0.00087169,0.000481239,0.000443342,0.000274445
151336.6419,0.000868518,0.000452645,0.000425889,0.000265291
151662.7984,0.000747901,0.000395469,0.000378238,0.000233688
151988.955,0.000671156,0.000288329,0.000308249,0.000187738
152315.1115,0.000577857,0.000249739,0.000253507,0.00015435
152641.2681,0.000685121,0.000239969,0.00026641,0.000161017
152967.4247,0.00077054,0.000352341,0.000332579,0.000204001
153293.5812,0.000800598,0.000370978,0.000364268,0.00022316
153619.7378,0.000772596,0.000374948,0.000385512,0.000221629
153945.8943,0.00058197,0.000314713,0.000296048,0.000185189
154272.0509,0.000675813,0.000403338,0.000371529,0.000247871
154598.2074,0.000613039,0.000559692,0.000385871,0.000274133
154924.364,0.00084919,0.000523921,0.000449529,0.000304865
155250.5205,0.000868454,0.000614432,0.000515097,0.000339222
155576.6771,0.000831995,0.000440777,0.000424774,0.000278494
155902.8337,0.000857215,0.000384563,0.000412977,0.000246385
156228.9902,0.000819465,0.000446743,0.000411617,0.000261095
156555.1468,0.000891369,0.000423159,0.000400321,0.00025368
156881.3033,0.000913094,0.000443851,0.000430714,0.000272123
157207.4599,0.001246172,0.000462537,0.000454014,0.000280094
157533.6164,0.000872787,0.000408611,0.000377837,0.000229455
157859.773,0.000911861,0.000393289,0.000384114,0.000233839
158185.9295,0.000910729,0.000422043,0.000400334,0.000244748
158512.0861,0.000931619,0.000447085,0.000439787,0.000281338
158838.2427,0.00104812,0.000531068,0.000532376,0.000325743
159164.3992,0.000999334,0.000607471,0.000533809,0.000353295
159490.5558,0.00101812,0.000628501,0.00052502,0.000347174
159816.7123,0.000932822,0.000589213,0.00047398,0.00033606
160142.8689,0.000908967,0.00053928,0.000462896,0.000295117
160469.0254,0.000946609,0.000554737,0.000469015,0.000298822
160795.182,0.001002625,0.00056491,0.000503967,0.000310307
161121.3386,0.001045598,0.000552029,0.000479126,0.000320261
161447.4951,0.001030254,0.000500394,0.000464817,0.000302025
161773.6517,0.000975894,0.000442065,0.000442528,0.000272442
162099.8082,0.000899485,0.000412386,0.000407789,0.000251145
162425.9648,0.000885783,0.000368715,0.000385586,0.000239586
162752.1213,0.000890533,0.000409627,0.000398804,0.000241985
163078.2779,0.000916828,0.00040745,0.000410657,0.000255489
163404.4344,0.000901148,0.000405352,0.000407469,0.000251001
163730.591,0.000843206,0.000432428,0.000410661,0.000264206
164056.7476,0.000838962,0.000436319,0.000388194,0.000255082
164382.9041,0.000818816,0.000444213,0.000361125,0.000236315
164709.0607,0.00083587,0.000499518,0.000400661,0.000269881
165035.2172,0.000856511,0.000490262,0.000447435,0.000293675
165361.3738,0.000828581,0.000392962,0.00042565,0.000257776
165687.5303,0.000671442,0.000316856,0.000350438,0.000226995
166013.6869,0.000607884,0.000245184,0.000264554,0.000173383
166339.8434,0.00063868,0.000259061,0.000247878,0.00014794
166666,0.000778443,0.000370452,0.000318118,0.000185536
